observation_id,source_doi,source_table,compound,antibiotic_partner,fixed_inhibitor_concentration,fixed_inhibitor_concentration_unit,enzyme_family,enzyme_variant,reference_variant,author_reported_mutation,numbering_scheme,assay_category,assay_system,protein_preparation,endpoint,relation,value,unit,fitted_value
EVO-OBS-P1-001,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,
EVO-OBS-P1-002,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-9,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,53,uM,
EVO-OBS-P1-003,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-83,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,80,uM,
EVO-OBS-P1-004,10.1128/aac.00991-23,Table 2,taniborbactam,,,,IMP,IMP-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P1-005,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-2 Glu149Lys,VIM-2,Glu149Lys,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,46,uM,
EVO-OBS-P1-006,10.1128/aac.00991-23,Table 1,,cefepime,,,NDM,NDM-9,,,,antimicrobial_susceptibility,whole_cell,,MIC,=,16,ug/mL,
EVO-OBS-P1-007,10.1128/aac.00991-23,Table 1,taniborbactam,cefepime,4,ug/mL,NDM,NDM-9,,,,antimicrobial_susceptibility,whole_cell,,MIC,=,16,ug/mL,
EVO-OBS-P2-001,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,NDM,NDM-9,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.4,uM,
EVO-OBS-P2-002,10.1128/aac.01570-23,Table 3,taniborbactam,,,,NDM,NDM-9,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,130,uM,
EVO-OBS-P2-003,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.7,uM,
EVO-OBS-P2-004,10.1128/aac.01570-23,Table 3,xeruborbactam,,,,IMP,IMP-10,IMP-1,Val67Phe,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,73,uM,
EVO-OBS-P2-005,10.1128/aac.01570-23,Table 4,xeruborbactam,,,,IMP,IMP-1,,,,biochemical_inhibition,purified_enzyme,purified_recombinant_enzyme,Ki,=,0.3,uM,
EVO-OBS-P2-006,10.1128/aac.01570-23,Table 4,xeruborbactam,,,,IMP,IMP-10,IMP-1,Val67Phe,BBL,biochemical_inhibition,purified_enzyme,purified_recombinant_enzyme,Ki,=,11.3,uM,
EVO-OBS-P3-001,10.1128/aac.00297-25,Table 3,xeruborbactam,,,,IMP,IMP-6,IMP-1,Ser262Gly,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,180,uM,
EVO-OBS-P3-002,10.1128/aac.00297-25,Table 3,xeruborbactam,,,,IMP,IMP-14,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,250,uM,680
EVO-OBS-P3-003,10.1128/aac.00297-25,Table 3,taniborbactam,,,,IMP,IMP-59,IMP-4,Asn233Tyr,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,7.0,uM,
EVO-OBS-P1-008,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.1,uM,
EVO-OBS-P1-009,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.9,uM,
EVO-OBS-P1-010,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,
EVO-OBS-P1-011,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-7,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.002,uM,
EVO-OBS-P1-012,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-14,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,
EVO-OBS-P1-013,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,2.4,uM,
EVO-OBS-P1-014,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-30,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,17,uM,
EVO-OBS-P1-015,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-35,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,1.7,uM,
EVO-OBS-P1-016,10.1128/aac.00991-23,Table 2,taniborbactam,,,,NDM,NDM-47,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,
EVO-OBS-P1-017,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.3,uM,
EVO-OBS-P1-018,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.004,uM,
EVO-OBS-P1-019,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-5,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,
EVO-OBS-P1-020,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-19,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.4,uM,
EVO-OBS-P1-021,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-1 Ala148Val,VIM-1,Ala148Val,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,
EVO-OBS-P1-022,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,
EVO-OBS-P1-023,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-6,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.02,uM,
EVO-OBS-P1-024,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-53,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.04,uM,
EVO-OBS-P1-025,10.1128/aac.00991-23,Table 2,taniborbactam,,,,VIM,VIM-2 Val148Ala,VIM-2,Val148Ala,BBL,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.03,uM,
EVO-OBS-P1-026,10.1128/aac.00991-23,Table 2,taniborbactam,,,,IMP,IMP-2,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P1-027,10.1128/aac.00991-23,Table 2,taniborbactam,,,,IMP,IMP-4,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P1-028,10.1128/aac.00991-23,Table 2,taniborbactam,,,,IMP,IMP-13,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
EVO-OBS-P1-029,10.1128/aac.00991-23,Table 2,taniborbactam,,,,SIM,SIM-1,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,
